=== CORRELAÇÃO S2C -> C2S ===

   C2S #000135 len=17 dt=43.69ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=67.41ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E
   C2S #000138 len=17 dt=68.92ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=102.77ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=136.94ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=168.32ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=200.18ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=211.80ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5

S2C #000134 len=1166 -> respostas:
   C2S #000135 len=17 dt=0.14ms 98 DF 50 3D BF F7 30 8C AD 61 36 EC 66 7B 94 4F
   C2S #000136 len=55 dt=23.85ms B5 61 EE E4 43 5A FC 8A EB 63 6A 68 17 D9 6A 1E
   C2S #000138 len=17 dt=25.37ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=59.22ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=93.38ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=124.77ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=156.63ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=168.25ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=187.07ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E

S2C #000137 len=1166 -> respostas:
   C2S #000138 len=17 dt=0.43ms D1 D9 40 A2 FB F5 81 37 42 92 05 34 E0 F3 93 5A
   C2S #000141 len=17 dt=34.27ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=68.44ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=99.83ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=131.68ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=143.31ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=162.13ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E
   C2S #000154 len=21 dt=192.19ms 61 35 F6 03 91 0D D7 BD C8 2C BD FB 91 05 95 88
   C2S #000155 len=55 dt=204.49ms 88 70 9E A3 39 E0 99 B6 B2 43 53 09 53 DD 30 F9

S2C #000140 len=1166 -> respostas:
   C2S #000141 len=17 dt=0.39ms F7 8F 78 DF 94 4A 28 10 1B FF 17 EF 7B 0F 72 AE
   C2S #000144 len=17 dt=34.56ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=65.94ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=97.80ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=109.43ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=128.25ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E
   C2S #000154 len=21 dt=158.31ms 61 35 F6 03 91 0D D7 BD C8 2C BD FB 91 05 95 88
   C2S #000155 len=55 dt=170.61ms 88 70 9E A3 39 E0 99 B6 B2 43 53 09 53 DD 30 F9
   C2S #000158 len=17 dt=187.22ms 84 C7 7D 8F F1 AE 2E 0E AC 69 5E C3 1B AA 47 97

S2C #000143 len=1166 -> respostas:
   C2S #000144 len=17 dt=0.52ms AA B9 36 99 4E 95 6D 56 A8 D2 71 3F 11 4C 7B 84
   C2S #000146 len=68 dt=31.91ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=63.77ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=75.39ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=94.21ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E
   C2S #000154 len=21 dt=124.28ms 61 35 F6 03 91 0D D7 BD C8 2C BD FB 91 05 95 88
   C2S #000155 len=55 dt=136.58ms 88 70 9E A3 39 E0 99 B6 B2 43 53 09 53 DD 30 F9
   C2S #000158 len=17 dt=153.18ms 84 C7 7D 8F F1 AE 2E 0E AC 69 5E C3 1B AA 47 97
   C2S #000160 len=17 dt=181.42ms B4 3F 49 28 92 B3 7E 77 40 95 E3 5D 0D BA 2E BD
   C2S #000162 len=17 dt=208.64ms B9 2A DC 8E E6 69 17 8E 14 C8 43 EE 00 2A 18 A4

S2C #000145 len=1166 -> respostas:
   C2S #000146 len=68 dt=0.21ms 4E 0A FD BD 59 79 B6 F1 73 31 FC F0 33 89 2D A2
   C2S #000149 len=17 dt=32.07ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=43.69ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=62.52ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E
   C2S #000154 len=21 dt=92.58ms 61 35 F6 03 91 0D D7 BD C8 2C BD FB 91 05 95 88
   C2S #000155 len=55 dt=104.88ms 88 70 9E A3 39 E0 99 B6 B2 43 53 09 53 DD 30 F9
   C2S #000158 len=17 dt=121.48ms 84 C7 7D 8F F1 AE 2E 0E AC 69 5E C3 1B AA 47 97
   C2S #000160 len=17 dt=149.72ms B4 3F 49 28 92 B3 7E 77 40 95 E3 5D 0D BA 2E BD
   C2S #000162 len=17 dt=176.94ms B9 2A DC 8E E6 69 17 8E 14 C8 43 EE 00 2A 18 A4
   C2S #000164 len=17 dt=203.69ms 39 7A AD D5 68 10 42 7B 93 B7 AE 30 54 FC 1F 25

S2C #000148 len=1166 -> respostas:
   C2S #000149 len=17 dt=0.13ms 67 CD 12 8B 2C 6E 73 5F 9C 62 28 C0 60 BB A5 19
   C2S #000150 len=45 dt=11.76ms 38 6F 49 EF 9C FD 26 77 40 95 E3 36 F5 BA 2E A5
   C2S #000152 len=17 dt=30.58ms EC 5E 32 89 5F 81 8D D1 FF E2 80 F2 65 F4 59 5E
   C2S #000154 len=21 dt=60.64ms 61 35 F6 03 91 0D D7 BD C8 2C BD FB 91 05 95 88
   C2S #000155 len=55 dt=72.94ms 88 70 9E A3 39 E0 99 B6 B2 43 53 09 53 DD 30 F9
   C2S #000158 len=17 dt=89.55ms 84 C7 7D 8F F1 AE 2E 0E AC 69 5E C3 1B AA 47 97
   C2S #000160 len=17 dt=117.78ms B4 3F 49 28 92 B3 7E 77 40 95 E3 5D 0D BA 2E BD
   C2S #000162 len=17 dt=145.00ms B9 2A DC 8E E6 69 17 8E 14 C8 43 EE 00 2A 18 A4
